
# Surface 0 of 2 surfaces

# Curve title: "'FES.dat'  u 1:2:3"
# Contour 0, label:      -36
-1.55606  0.880545 -36 
-1.5574  0.888528 -36 
-1.55873  0.897015 -36 
-1.56006  0.906094 -36 
-1.56139  0.915799 -36 
-1.56271  0.926112 -36 
-1.564  0.936979 -36 
-1.56525  0.948321 -36 
-1.56643  0.960053 -36 
-1.56752  0.972089 -36 
-1.56851  0.98435 -36 
-1.56937  0.996771 -36 
-1.5701  1.0093 -36 
-1.57068  1.0219 -36 
-1.5711  1.03455 -36 
-1.57135  1.04722 -36 
-1.57144  1.0599 -36 
-1.57135  1.07258 -36 
-1.57109  1.08526 -36 
-1.57064  1.09793 -36 
-1.57002  1.11056 -36 
-1.56922  1.12312 -36 
-1.56825  1.13557 -36 
-1.56714  1.14784 -36 

-2.62704 -3.14159 -36 
-2.68395 -3.10934 -36 
-2.75977 -3.08231 -36 
-2.83527 -3.07945 -36 
-2.90723 -3.10243 -36 
-2.9629 -3.14159 -36 

-2.92056  2.60645 -36 
-2.92656  2.61333 -36 
-2.93238  2.6202 -36 
-2.93796  2.62702 -36 
-2.94328  2.63382 -36 
-2.9484  2.64069 -36 
-2.9534  2.64778 -36 
-2.95837  2.65524 -36 
-2.96341  2.66319 -36 
-2.96858  2.6717 -36 
-2.97389  2.68076 -36 
-2.9793  2.69026 -36 
-2.98472  2.70004 -36 
-2.99005  2.70992 -36 
-2.99517  2.71972 -36 
-3  2.72932 -36 
-3.00449  2.73873 -36 
-3.00864  2.74807 -36 
-3.0125  2.75762 -36 
-3.01616  2.76773 -36 
-3.0197  2.77885 -36 
-3.02321  2.79139 -36 
-3.0267  2.8057 -36 
-3.03012  2.82204 -36 
-3.03335  2.84053 -36 
-3.03614  2.86126 -36 
-3.03821  2.8843 -36 
-3.03916  2.9098 -36 
-3.03849  2.93804 -36 
-3.0356  2.96939 -36 
-3.02969  3.00409 -36 
-3.01993  3.04155 -36 
-3.00604  3.07812 -36 

-2.55351  3.07813 -36 
-2.50456  3.02756 -36 
-2.4815  3.00196 -36 
-2.46362  2.98099 -36 
-2.44893  2.96309 -36 
-2.43678  2.94756 -36 
-2.42618  2.93325 -36 
-2.41644  2.91944 -36 
-2.40738  2.90598 -36 
-2.39904  2.89301 -36 
-2.3915  2.88066 -36 
-2.38478  2.86893 -36 
-2.3788  2.85764 -36 
-2.37344  2.84654 -36 
-2.3686  2.8354 -36 
-2.36422  2.82402 -36 
-2.3603  2.81231 -36 
-2.35688  2.80023 -36 
-2.35404  2.78783 -36 
-2.35185  2.77518 -36 
-2.35039  2.76239 -36 
-2.34972  2.74956 -36 
-2.34985  2.7368 -36 
-2.35077  2.72425 -36 
-2.35244  2.71202 -36 
-2.35476  2.70024 -36 
-2.35761  2.68904 -36 
-2.36088  2.67854 -36 
-2.36445  2.66882 -36 
-2.36823  2.65991 -36 
-2.3722  2.65178 -36 
-2.37636  2.64433 -36 
-2.38076  2.6374 -36 
-2.38547  2.63081 -36 
-2.39057  2.62437 -36 
-2.39606  2.61797 -36 
-2.40192  2.61152 -36 
-2.40809  2.60504 -36 
-2.41443  2.59859 -36 
-2.42085  2.59229 -36 
-2.42725  2.58621 -36 
-2.43362  2.58043 -36 
-2.43999  2.57494 -36 
-2.44648  2.56969 -36 
-2.45321  2.56458 -36 
-2.46031  2.55952 -36 
-2.46787  2.55442 -36 
-2.47591  2.54925 -36 
